Date,Close
2012-04-10,0.325
2012-04-11,0.329
2012-04-12,0.336
2012-04-13,0.325
2012-04-16,0.321
2012-04-17,0.321
2012-04-18,0.318
2012-04-19,0.313
2012-04-20,0.307
2012-04-23,0.303
2012-04-24,0.294
2012-04-25,0.3
2012-04-26,0.3
2012-04-27,0.297
2012-04-30,0.298
2012-05-01,0.303
2012-05-02,0.295
2012-05-03,0.289
2012-05-04,0.281
2012-05-07,0.286
2012-05-08,0.286
2012-05-09,0.287
2012-05-10,0.285
2012-05-11,0.303
2012-05-14,0.301
2012-05-15,0.298
2012-05-16,0.292
2012-05-17,0.29
2012-05-18,0.277
2012-05-21,0.282
2012-05-22,0.278
2012-05-23,0.285
2012-05-24,0.278
2012-05-25,0.284
2012-05-29,0.292
2012-05-30,0.288
2012-05-31,0.285
2012-06-01,0.275
2012-06-04,0.269
2012-06-05,0.277
2012-06-06,0.284
2012-06-07,0.273
2012-06-08,0.278
2012-06-11,0.281
2012-06-12,0.287
2012-06-13,0.279
2012-06-14,0.276
2012-06-15,0.282
2012-06-18,0.284
2012-06-19,0.303
2012-06-20,0.308
2012-06-21,0.294
2012-06-22,0.298
2012-06-25,0.289
2012-06-26,0.292
2012-06-27,0.301
2012-06-28,0.303
2012-06-29,0.317
2012-07-02,0.308
2012-07-03,0.316
2012-07-05,0.313
2012-07-06,0.307
2012-07-09,0.303
2012-07-10,0.294
2012-07-11,0.289
2012-07-12,0.284
2012-07-13,0.288
2012-07-16,0.289
2012-07-17,0.284
2012-07-18,0.299
2012-07-19,0.302
2012-07-20,0.294
2012-07-23,0.297
2012-07-24,0.294
2012-07-25,0.3
2012-07-26,0.301
2012-07-27,0.309
2012-07-30,0.306
2012-07-31,0.31
2012-08-01,0.307
2012-08-02,0.308
2012-08-03,0.314
2012-08-06,0.321
2012-08-07,0.324
2012-08-08,0.326
2012-08-09,0.337
2012-08-10,0.335
2012-08-13,0.339
2012-08-14,0.334
2012-08-15,0.332
2012-08-16,0.339
2012-08-17,0.336
2012-08-20,0.336
2012-08-21,0.335
2012-08-22,0.336
2012-08-23,0.328
2012-08-24,0.335
2012-08-27,0.329
2012-08-28,0.328
2012-08-29,0.328
2012-08-30,0.322
2012-08-31,0.322
2012-09-04,0.304
2012-09-05,0.305
2012-09-06,0.315
2012-09-07,0.307
2012-09-10,0.304
2012-09-11,0.308
2012-09-12,0.311
2012-09-13,0.314
2012-09-14,0.317
2012-09-17,0.308
2012-09-18,0.311
2012-09-19,0.314
2012-09-20,0.312
2012-09-21,0.313
2012-09-24,0.313
2012-09-25,0.307
2012-09-26,0.302
2012-09-27,0.304
2012-09-28,0.306
2012-10-01,0.301
2012-10-02,0.302
2012-10-03,0.299
2012-10-04,0.312
2012-10-05,0.305
2012-10-08,0.302
2012-10-09,0.295
2012-10-10,0.29
2012-10-11,0.292
2012-10-12,0.289
2012-10-15,0.293
2012-10-16,0.302
2012-10-17,0.299
2012-10-18,0.295
2012-10-19,0.278
2012-10-22,0.274
2012-10-23,0.283
2012-10-24,0.279
2012-10-25,0.279
2012-10-26,0.276
2012-10-31,0.275
2012-11-01,0.288
2012-11-02,0.286
